cv_id,organization,position,status,startDate,endDate,linkedin
165,PwC,Senior Manager,ACTIVE,2023-09,,https://www.linkedin.com/company/pwc
165,PwC,Manager,ACTIVE,2021-05,,https://www.linkedin.com/company/pwc
166,South West Vision GmbH,Geschäftsführender Gesellschafter,ACTIVE,2023-07,,https://www.linkedin.com/company/south-west-vision-gmbh
166,KooVoo GmbH,Founder & CEO Investments,ACTIVE,2023-01,,
166,Purax GmbH,Geschäftsführer,ACTIVE,2022-09,,
166,Victualien Handels GmbH,Geschäftsführender Gesellschafter,ACTIVE,2005-01,,
167,Delrin,Sales Director EMEA,ACTIVE,2024-07,,https://www.linkedin.com/company/delrin-acetal-homopolymer
168,ALTTURBO GmbH,Geschäftsführender Gesellschafter,ACTIVE,2021-10,,https://www.linkedin.com/company/altturbo-gmbh
169,argon lighting GmbH,Verkaufsleiter,ACTIVE,2018-05,,https://www.linkedin.com/company/argon-lighting-gmbh
170,Lufthansa Technik Services India Pvt Ltd,Chief Executive Officer,ACTIVE,2022-01,,https://www.linkedin.com/company/lufthansa-technik-services-india-pvt-ltd
171,RINA North America (formerly Patrick),Senior Program Manager,ACTIVE,2018-07,,https://www.linkedin.com/company/rina-north-america
172,andwin Ltd.,Independent Advisor to Founders and Funds,ACTIVE,2021,,https://www.linkedin.com/company/andwin
174,PAE Technical Services GmbH,CST,ACTIVE,2018-04,,https://www.linkedin.com/company/pae-technical-services-gmbh
175,Fraunhofer IPMS,R&D group manager,ACTIVE,2004-05,,https://www.linkedin.com/company/fraunhofer-ipms
175,Fraunhofer IPMS,Research Associate and Project Manager,ACTIVE,2003-03,,https://www.linkedin.com/company/fraunhofer-ipms
176,Psychologie.8,Klinischer Psychologe,ACTIVE,2025-02,,
176,Schweizer Haus Hadersdorf,Klinischer Psychologe,ACTIVE,2019-07,,https://www.linkedin.com/company/schweizer-haus-hadersdorf
178,SSingularity Technologies,Software Developer,ACTIVE,2024-02,,https://www.linkedin.com/company/ssingularity-technologies
179,LegalTegrity,COO (Geschäftsführende Gesellschafterin),ACTIVE,2019-09,,https://www.linkedin.com/company/legaltegrity
179,ada,ada Fellow,ACTIVE,2019-09,,https://www.linkedin.com/company/ada-community
180,ikonda GmbH,Geschäftsführender Gesellschafter,ACTIVE,2023-10,,https://www.linkedin.com/company/ikonda-gmbh
182,Face Mining Services,Expat Jumbo Operator,ACTIVE,2025-03,,https://www.linkedin.com/company/facemining
183,Agentur für Kunstvermittlung GmbH,Geschäftsführer,ACTIVE,1995-01,,
184,;-),Retired,ACTIVE,2023-04,,
184,IIC GmbH,CEO; Shareholder,ACTIVE,2008-01,,https://www.linkedin.com/company/iic-gmbh
185,BMG LABTECH,Application Specialist,ACTIVE,2021-01,,https://www.linkedin.com/company/bmg-labtech
188,International Campaign for Tibet,Executive Director / Head of UN Advocacy,ACTIVE,2005-11,,https://www.linkedin.com/company/international-campaign-for-tibet
